p0,T,t,Fs_mean,Fs_std,Fs_sem,n_idx
3.8,0.03119342,6.417109492424104,0.7168599133240451,0.00796901954991063,0.002520025249612746,10
3.8,0.03119342,7.284258025038717,0.7217634568029176,0.00742919116386201,0.0023493165250601153,10
3.8,0.03119342,8.268584950589176,0.6946126654500182,0.00811026983582436,0.0025646925119764837,10
3.8,0.03119342,9.385924667975567,0.6572879517905497,0.0075556790875718005,0.002389315518602971,10
3.8,0.03119342,10.65425128959158,0.6416346034751192,0.005769350779273723,0.0018244289082972325,10
3.8,0.03119342,12.093967782318368,0.6522433500235439,0.005756024041076471,0.0018202146236488243,10
3.8,0.03119342,13.728234180344895,0.6513906688842118,0.008432362446841734,0.002666547138809039,10
3.8,0.03119342,15.583340149618108,0.6290221958523236,0.008202243590719617,0.0025937771670191917,10
3.8,0.03119342,17.689127897190275,0.6190874055605047,0.00892648642106141,0.0028228028593118887,10
3.8,0.03119342,20.07947222860456,0.6144477477642674,0.00783728368080152,0.0024783667100200853,10
3.8,0.03119342,22.792825475773903,0.5972366310789973,0.008439358763658951,0.002668759568446493,10
3.8,0.03119342,25.872836061348632,0.5876887035734455,0.00856567544767758,0.0027087044112443595,10
3.8,0.03119342,29.369050650123167,0.5698367736303279,0.006601629279613591,0.002087618479163553,10
3.8,0.03119342,33.33771118265806,0.5518624292440475,0.009732744200725143,0.0030777639558086465,10
3.8,0.03119342,37.842659612617176,0.5371047873103043,0.011006305849493296,0.0034804995108833206,10
3.8,0.03119342,42.95636490189982,0.5206147294029646,0.009233947028994594,0.002920030440496778,10
3.8,0.03119342,48.76108879434957,0.5004355336065767,0.009105202042801162,0.0028793177011269605,10
3.8,0.03119342,55.350209121286355,0.47824415987255514,0.008872743934673662,0.0028058079929013007,10
3.8,0.03119342,62.82972192624931,0.4542396044263839,0.008952812027793258,0.0028311277471177385,10
3.8,0.03119342,71.31994657291497,0.4292381899189694,0.013149401958188853,0.004158206005695495,10
3.8,0.03119342,80.95746126545187,0.4035260541738984,0.013411434666842784,0.004241068023776468,10
3.8,0.03119342,91.89730011710618,0.37704041316024994,0.015041868112569539,0.004756656349957775,10
3.8,0.03119342,104.31544711021446,0.3482051161344584,0.016508039709710747,0.005220300518719079,10
3.8,0.03119342,118.41166706679324,0.32214916914702674,0.013182010505629385,0.004168517733805668,10
3.8,0.03119342,134.41271917018034,0.29293479827972735,0.010430613434502762,0.0032984495845780255,10
3.8,0.03119342,152.57600473212457,0.26415822209788853,0.007867802056919266,0.0024880174679222616,10
3.8,0.03119342,173.19370788521238,0.23444084261114795,0.006044135856445075,0.0019113235793858936,10
3.8,0.03119342,196.59749580998604,0.20459939250710635,0.010209810238568092,0.003228625483198227,10
3.8,0.03119342,223.1638541070668,0.1730793238556599,0.012163599413458143,0.0038464678692415885,10
3.8,0.03119342,253.32014314187637,0.14840234791216525,0.012305185021762389,0.003891241169855775,10
3.8,0.03119342,287.5514727874956,0.1254668775146089,0.010213976890405254,0.0032299430942004624,10
3.8,0.03119342,326.40850615637055,0.10255020942296507,0.009591727193369747,0.00303317046260227,10
3.8,0.03119342,370.5163178557939,0.07861757148371148,0.009904491576319226,0.0031320752447120182,10
3.8,0.03119342,420.58444926569615,0.057720051631242074,0.00555780498773548,0.00175753225522883,10
3.8,0.03119342,477.4183225932176,0.043059160648475064,0.006807694079601678,0.002152781890518492,10
3.8,0.03119342,541.9321973165318,0.03178211369971269,0.006650466483072609,0.0021030621589119077,10
3.8,0.03119342,615.1638774420524,0.02227192664372448,0.004583599565721577,0.0014494614509838828,10
3.8,0.03119342,698.2914061636919,0.01311483144953805,0.006023561693922432,0.0019048174579336906,10
3.8,0.03119342,792.652016483199,0.008631661533962918,0.006889089691713892,0.002178521443100311,10
3.8,0.03119342,899.7636426411872,0.0022768148444304364,0.003957413781949358,0.0012514441194700911,10
3.8,0.03119342,1021.3493384030259,0.003205866721999013,0.004312419003094752,0.0013637066274772127,10
3.8,0.03119342,1159.3649950049091,0.001842995341345596,0.003381482284607205,0.0010693185886868498,10
3.8,0.03119342,1316.0308046455484,0.0017539108130945613,0.0036120011960469414,0.0011422150690760708,10
3.8,0.03119342,1493.8669756616864,-0.00013456121440052574,0.0023451026682033025,0.0007415865778460562,10
3.8,0.03119342,1695.7342739204687,8.856956378090355e-05,0.003366570991232412,0.0010646032236945172,10
3.8,0.03119342,1924.8800425987847,0.0001422675312642765,0.0032401065134738233,0.0010246116444124326,10
3.8,0.03119342,2184.990440647822,0.0016783979855546929,0.0030274921692376782,0.0009573770853115016,10
3.8,0.03119342,2480.2497402782196,-0.0009929446438398648,0.0025911344227866717,0.000819388649967158,10
3.8,0.03119342,2815.4076373562034,-0.0005141870276139176,0.0030714607982208937,0.000971281186629687,10
3.8,0.03119342,3195.8556575010366,0.0004351401521535185,0.002906029237301668,0.0009189671336915219,10
3.8,0.03119342,3627.7138869923433,-0.0014803299108244107,0.0031568243942710953,0.000998275525907806,10
3.8,0.03119342,4117.929423686066,-0.0014358463443257332,0.002406556448881391,0.0007610199696231769,10
3.8,0.03119342,4674.388131672206,0.0004526703110029716,0.00225942380828252,0.0007144925433784376,10
3.8,0.03119342,5306.041497418272,0.0005146707380311238,0.0016375348656781244,0.000517833992348076,10
3.8,0.03119342,6023.050628072877,0.0001997010736976042,0.0020984955316248484,0.0006636025539620425,10
3.8,0.03119342,6836.949708361742,-0.0010937591980036384,0.0020131953319906058,0.0006366282623909156,10
3.8,0.03119342,7760.831545529242,-0.0005045731391742341,0.00124631293368452,0.0003941187547769472,10
3.8,0.03119342,8809.558187098928,0.000829480749173795,0.002984201018655634,0.0009436872214746432,10
3.8,0.03119342,9999.99999956053,0.002425399271992663,0.0027085572324490473,0.0008565210027461113,10
3.8,0.01973598,0.010000000000218279,0.9999899785176645,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.011351307054675233,0.9999859162261314,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.012885217184670714,0.9999813049942778,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.014626405672618265,0.9999760706434111,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.016602882189250948,0.9999701289710192,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.018846441371867226,0.9999633843962453,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.021393174289532996,0.9999529348421543,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.024284049022937213,0.9999384475558584,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.027565569698412937,0.999922002592346,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.03129052457769065,0.999900750119308,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.035518835237547564,0.9998710899105022,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.040318520499702026,0.9998367848958637,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.045766790617234585,0.9997876746393789,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.051951289319191934,0.9997280490382225,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.05897150369355452,0.9996508136592359,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.06694036458868406,0.9995493097083402,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.0759860632781475,0.9994199050672998,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.08625411361274073,0.9992537407520834,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.09790969283256912,0.9990405029504605,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.11114029869471674,0.9987649412504169,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.12615876566045128,0.9984072803448469,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.14320668866193417,0.9979537052172291,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.16255830952494102,0.9973713366270445,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.1845249285666265,0.9966206040219922,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.209459912335607,0.995659985489844,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.23776437805149325,0.9944250269788071,0.0001,3.1622776601683795e-05,10
3.8,0.01973598,0.2698936461867474,0.9928641897225635,0.00010624069665015957,3.3596258161752516e-05,10
3.8,0.01973598,0.3063645649904774,0.9908630305975107,0.00013578133637322983,4.293782866808729e-05,10
3.8,0.01973598,0.3477638247803005,0.9883656279598739,0.00017338096506318428,5.482787525177419e-05,10
3.8,0.01973598,0.3947573957503299,0.9851680426539942,0.0002206709027675229,6.978226660709262e-05,10
3.8,0.01973598,0.4481012411168134,0.9811774677173244,0.0002788719123306791,8.818704184117412e-05,10
3.8,0.01973598,0.5086534779386983,0.976161979787148,0.0003509609012953135,0.00011098358177587294,10
3.8,0.01973598,0.5773881812384607,0.9699432609388996,0.0004372480459042956,0.0001382699727515432,10
3.8,0.01973598,0.6554110534835178,0.9622974046949222,0.000544148855435829,0.00017207497693509148,10
3.8,0.01973598,0.7439772114957187,0.9529750191913113,0.0006757831683950282,0.00021370140165334034,10
3.8,0.01973598,0.8445113769184625,0.9416484225231919,0.0008417481703119171,0.00026618414344649837,10
3.8,0.01973598,0.9586307950358789,0.9280308826022148,0.001050164832780212,0.00033209127901953254,10
3.8,0.01973598,1.088171250628218,0.9117058930581756,0.0013003625246141275,0.00041121073617074097,10
3.8,0.01973598,1.2352165993681232,0.892157172056328,0.0015846298921117503,0.0005011039707460017,10
3.8,0.01973598,1.402132289815328,0.8688791152779916,0.0018846092506529274,0.0005959657731486422,10
3.8,0.01973598,1.5916034152621248,0.841405055174959,0.002158708829245003,0.0006826436705529709,10
3.8,0.01973598,1.80667790755158,0.8099012405717584,0.00237344265413181,0.0007505484682851767,10
3.8,0.01973598,2.0508155677068496,0.775336040099144,0.002542185955685661,0.0008039097855658567,10
3.8,0.01973598,2.3279437221040404,0.7394468015287234,0.0029076189392477146,0.0009194698415865527,10
3.8,0.01973598,2.642520399502972,0.7040953033298969,0.003749148344170196,0.0011855848053426681,10
3.8,0.01973598,2.9996060452346534,0.6710422591895508,0.004939957490808664,0.0015621517215365678,10
3.8,0.01973598,3.404944926177538,0.6435156733776586,0.006217230204312598,0.0019660608183221817,10
3.8,0.01973598,3.865057536045609,0.6265590772134633,0.007032576359504162,0.002223895911508828,10
3.8,0.01973598,4.3873454874682505,0.6242064503845435,0.006669503511416558,0.002109082195856714,10
3.8,0.01973598,4.980210578210885,0.6386036729905038,0.00618725478841852,0.001956581759518572,10
3.8,0.01973598,5.653189946897943,0.6729132621780828,0.005718189572844612,0.0018082503142814283,10
3.8,0.01973598,6.417109492424104,0.7183102843053072,0.0052658051176487,0.0016651937886340807,10
3.8,0.01973598,7.284258025038717,0.7568539519105519,0.0038524287194414363,0.0012182449276880731,10
3.8,0.01973598,8.268584950589176,0.7694370990279931,0.003840480390931414,0.0012144665344557134,10
3.8,0.01973598,9.385924667975567,0.7480875511080555,0.004580277563720102,0.0014484109417122527,10
3.8,0.01973598,10.65425128959158,0.7108714829950146,0.005854951517654447,0.0018514982385647604,10
3.8,0.01973598,12.093967782318368,0.6914676468721032,0.006231282412087668,0.0019705045165944964,10
3.8,0.01973598,13.728234180344895,0.7034268862840178,0.0047181295544817935,0.0014920035687917964,10
3.8,0.01973598,15.583340149618108,0.714368154646783,0.005577272074985586,0.0017636882887407859,10
3.8,0.01973598,17.689127897190275,0.6915431918778334,0.008708807163876599,0.002753966634104131,10
