p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.815,0.00702801,46416.0,4641.59,4641.59,3365.977516322711,1,4096,0
3.815,0.00702801,4642.0,4641.59,4641.59,2819.8366603353843,1,4096,0
3.815,0.00702801,51057.0,4641.59,4641.59,4407.546348031375,1,4096,0
3.815,0.00702801,55699.0,4641.59,4641.59,4112.809160810047,1,4096,0
3.815,0.00702801,60341.0,4641.59,4641.59,3168.9775244499638,1,4096,0
3.815,0.00702801,64982.0,4641.59,4641.59,,0,4096,0
3.815,0.00702801,9283.0,4641.59,4641.59,2384.818837302886,1,4096,0
3.815,0.00829312,0.0,2154.43,2154.43,1240.5135043377497,1,4096,0
3.815,0.00829312,10772.0,2154.43,2154.43,1814.6039898362344,1,4096,0
3.815,0.00829312,12927.0,2154.43,2154.43,1698.499883765226,1,4096,0
3.815,0.00829312,15081.0,2154.43,2154.43,1458.8231279351364,1,4096,0
3.815,0.00829312,17235.0,2154.43,2154.43,1850.7618106618822,1,4096,0
3.815,0.00829312,19390.0,2154.43,2154.43,1952.7455213125597,1,4096,0
3.815,0.00829312,21544.0,2154.43,2154.43,2281.4435954955193,1,4096,0
3.815,0.00829312,2154.0,2154.43,2154.43,1527.4484628806194,1,4096,0
3.815,0.00829312,23699.0,2154.43,2154.43,1866.7105971132862,1,4096,0
3.815,0.00829312,25853.0,2154.43,2154.43,1911.4423569630894,1,4096,0
3.815,0.00829312,28007.0,2154.43,2154.43,1620.6620061815593,1,4096,0
3.815,0.00829312,30162.0,2154.43,2154.43,1655.0215545465976,1,4096,0
3.815,0.00829312,4309.0,2154.43,2154.43,1336.3967270653156,1,4096,0
3.815,0.00829312,6463.0,2154.43,2154.43,1797.5554424984193,1,4096,0
3.815,0.00829312,8618.0,2154.43,2154.43,1456.2421768485142,1,4096,0
3.815,0.01011368,0.0,1000.0,1000.0,675.2048709640916,1,4096,0
3.815,0.01011368,10000.0,1000.0,1000.0,974.8989276962818,1,4096,0
3.815,0.01011368,1000.0,1000.0,1000.0,851.7089007757465,1,4096,0
3.815,0.01011368,11000.0,1000.0,1000.0,916.2339456743284,1,4096,0
3.815,0.01011368,12000.0,1000.0,1000.0,872.932757335348,1,4096,0
3.815,0.01011368,13000.0,1000.0,1000.0,899.4433915462444,1,4096,0
3.815,0.01011368,14000.0,1000.0,1000.0,,0,4096,0
