p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.8,0.01138609,0.07,12228.00227850339,1000.0,2000.0,1
3.8,0.0145279,0.07,9514.421331517131,464.159,5000.0,1
3.8,0.01950438,0.07,7544.608902858144,215.443,3000.0,1
3.8,0.02908965,0.07,2162.229280582346,100.0,10000.0,1
3.8,0.04732642,0.07,555.770345953071,46.4159,14000.0,1
3.8,0.07997788,0.07,25.78109331136731,21.5443,0.0,1
3.8,0.10807693,0.07,2.607290215064685,10.0,13000.0,1
3.8,0.00857386,0.08,5616.781169227691,4641.59,9000.0,1
3.8,0.00972763,0.08,5571.497270580157,2154.43,0.0,1
3.8,0.01138609,0.08,5779.63601970497,1000.0,8000.0,1
3.8,0.0145279,0.08,7055.072563075053,464.159,7000.0,1
3.8,0.01950438,0.08,3113.0273851150887,215.443,10000.0,1
3.8,0.02908965,0.08,624.6955493579665,100.0,3000.0,1
3.8,0.04732642,0.08,140.14533937611182,46.4159,0.0,1
3.8,0.07997788,0.08,6.755725901639712,21.5443,0.0,1
3.8,0.10807693,0.08,1.2859596058570033,10.0,1000.0,1
3.8,0.00804331,0.09,1850.612620115635,10000.0,13000.0,1
3.8,0.00857386,0.09,9805.379608090368,4641.59,5000.0,1
3.8,0.00972763,0.09,3234.0526208999004,2154.43,3000.0,1
3.8,0.01138609,0.09,4419.439665193859,1000.0,10000.0,1
3.8,0.0145279,0.09,1636.0639843912581,464.159,13000.0,1
3.8,0.02908965,0.09,321.75301117499646,100.0,0.0,1
3.8,0.10807693,0.09,0.9936060192729047,10.0,0.0,1
3.8,0.01138609,0.1,737.4195459542195,1000.0,1000.0,1
3.8,0.0145279,0.1,396.1109722481698,464.159,0.0,1
3.8,0.01950438,0.1,248.29364925006502,215.443,0.0,1
3.815,0.00526263,0.001,,10000.0,100000.0,0
3.815,0.00652689,0.001,,4641.59,46416.0,0
3.815,0.00772835,0.001,,2154.43,21544.0,0
3.815,0.00940991,0.001,,1000.0,10000.0,0
3.815,0.01295838,0.001,4413.389627942391,464.159,10000.0,0
3.815,0.01802961,0.001,2010.9078392409908,215.443,10000.0,0
3.815,0.0281223,0.001,964.56506814938,100.0,10000.0,0
3.815,0.04555274,0.001,580.0491637443753,46.4159,10000.0,0
3.815,0.07416724,0.001,294.4019944287935,21.5443,10000.0,0
3.815,0.11265956,0.001,217.86713453104193,10.0,10000.0,0
3.815,0.00526263,0.0015,,10000.0,100000.0,0
3.815,0.00652689,0.0015,21472.695694868653,4641.59,46416.0,1
3.815,0.00772835,0.0015,9547.445991478646,2154.43,21544.0,1
3.815,0.00940991,0.0015,,1000.0,10000.0,0
3.815,0.01295838,0.0015,3141.864261824163,464.159,10000.0,0
3.815,0.01802961,0.0015,1451.045345104719,215.443,10000.0,0
3.815,0.0281223,0.0015,624.5979153914964,100.0,10000.0,0
3.815,0.04555274,0.0015,327.12990404307453,46.4159,10000.0,0
3.815,0.07416724,0.0015,155.97669590973248,21.5443,10000.0,0
3.815,0.11265956,0.0015,100.35374219663368,10.0,10000.0,0
3.815,0.00526263,0.0022,,10000.0,100000.0,0
3.815,0.00652689,0.0022,18389.725430757095,4641.59,46416.0,1
3.815,0.00772835,0.0022,8009.840506551337,2154.43,21544.0,1
3.815,0.00940991,0.0022,4200.353806607494,1000.0,10000.0,1
3.815,0.01295838,0.0022,1912.3660767698627,464.159,10000.0,1
3.815,0.01802961,0.0022,1045.9827670549107,215.443,10000.0,1
3.815,0.0281223,0.0022,458.3003637088226,100.0,10000.0,1
3.815,0.04555274,0.0022,197.297529872369,46.4159,10000.0,1
3.815,0.07416724,0.0022,103.69244611921528,21.5443,10000.0,1
3.815,0.11265956,0.0022,59.525245880139096,10.0,10000.0,0
3.815,0.00526263,0.0032,,10000.0,100000.0,0
3.815,0.00652689,0.0032,9082.791192785644,4641.59,46416.0,1
3.815,0.00772835,0.0032,5086.1137986997555,2154.43,21544.0,1
3.815,0.00940991,0.0032,2879.4398686417558,1000.0,10000.0,1
3.815,0.01295838,0.0032,1293.9803975803436,464.159,10000.0,1
3.815,0.01802961,0.0032,568.2884643675709,215.443,10000.0,1
3.815,0.0281223,0.0032,284.49839333114494,100.0,10000.0,1
3.815,0.04555274,0.0032,138.0940257714368,46.4159,10000.0,1
3.815,0.07416724,0.0032,71.4428063243143,21.5443,10000.0,1
3.815,0.11265956,0.0032,40.27520611491424,10.0,10000.0,1
3.815,0.00526263,0.0046,22112.53891256066,10000.0,100000.0,1
3.815,0.00652689,0.0046,8209.837382336586,4641.59,46416.0,1
3.815,0.00772835,0.0046,3315.7469575461437,2154.43,21544.0,1
3.815,0.00940991,0.0046,2236.483585574842,1000.0,10000.0,1
3.815,0.01295838,0.0046,853.5216617354587,464.159,10000.0,1
3.815,0.01802961,0.0046,400.50433045925723,215.443,10000.0,1
3.815,0.0281223,0.0046,185.91115099363438,100.0,10000.0,1
3.815,0.04555274,0.0046,94.91933108631177,46.4159,10000.0,1
3.815,0.07416724,0.0046,48.21821816928599,21.5443,10000.0,1
